Departamento,Estoy satisfecho con mi puesto,Calidad de las herramientas,Recomendaría trabajar aquí (0-10),¿Qué cambiarías?
Ventas,En desacuerdo,Bueno,0,Reuniones más cortas
Ingeniería,Muy de acuerdo,Regular,7,Más capacitación por favor
Ventas,Neutral,Malo,0,
Soporte,Muy en desacuerdo,Regular,2,
Ventas,Neutral,Regular,7,La incorporación fue lenta
Ventas,De acuerdo,Regular,9,Reuniones más cortas
Ingeniería,De acuerdo,Bueno,2,Más días remotos
Ingeniería,Muy de acuerdo,Bueno,1,Más capacitación por favor
Soporte,En desacuerdo,Malo,8,Contento con las herramientas
Ingeniería,De acuerdo,Regular,1,Contento con las herramientas
Ventas,En desacuerdo,Regular,1,
Soporte,Muy en desacuerdo,Regular,5,Reuniones más cortas
Ingeniería,Neutral,Bueno,10,Más días remotos
Ingeniería,Muy de acuerdo,Bueno,10,Más días remotos
Ingeniería,De acuerdo,Malo,9,
Ingeniería,Neutral,Regular,3,
Ingeniería,Muy de acuerdo,Bueno,8,Más días remotos
Soporte,Muy en desacuerdo,Malo,4,Reuniones más cortas
Ingeniería,Neutral,Regular,4,Más capacitación por favor
Ventas,De acuerdo,Regular,9,
Ventas,Neutral,Regular,9,La incorporación fue lenta
Soporte,Neutral,Malo,0,Más días remotos
Ventas,En desacuerdo,Regular,10,Reuniones más cortas
Ventas,De acuerdo,Bueno,4,Más días remotos
Ventas,Neutral,Bueno,3,La incorporación fue lenta
Ventas,De acuerdo,Bueno,6,Más capacitación por favor
Ventas,De acuerdo,Bueno,7,Contento con las herramientas
Ventas,Neutral,Regular,10,Contento con las herramientas
Ingeniería,De acuerdo,Bueno,8,Reuniones más cortas
Ventas,Neutral,Regular,10,Más capacitación por favor
Soporte,Muy en desacuerdo,Malo,5,
Soporte,Muy en desacuerdo,Bueno,2,Contento con las herramientas
Ventas,En desacuerdo,Malo,1,La incorporación fue lenta
Soporte,En desacuerdo,Bueno,9,Más capacitación por favor
Soporte,En desacuerdo,Regular,4,Reuniones más cortas
Soporte,Muy en desacuerdo,Malo,2,Más días remotos
Ingeniería,De acuerdo,Bueno,6,Reuniones más cortas
Ingeniería,Muy de acuerdo,Bueno,10,Más días remotos
Soporte,Muy en desacuerdo,Malo,5,La incorporación fue lenta
Soporte,En desacuerdo,Malo,8,Reuniones más cortas
Ventas,En desacuerdo,Regular,1,
Ingeniería,Muy de acuerdo,Regular,9,Contento con las herramientas
Soporte,En desacuerdo,Regular,7,La incorporación fue lenta
Ingeniería,Muy de acuerdo,Regular,6,Reuniones más cortas
Ventas,En desacuerdo,Bueno,4,Más días remotos
Soporte,En desacuerdo,Malo,10,La incorporación fue lenta
